aggregation,method,source,frames,sequences,nonempty_frames,components_per_nonempty_mean,components_per_nonempty_median,components_per_nonempty_p95,components_per_nonempty_max,largest_component_fraction_median,largest_component_fraction_p95,largest_component_fraction_max,total_area_fraction_median,total_area_fraction_p95,total_area_fraction_max
source,SALI causal,PolypGen negative,647,4,647,3.278207109737,3.000000000000,7.000000000000,12,0.019601176698,0.105471595293,0.355222318673,0.030108506944,0.116596064815,0.383632330247
source,SALI causal,SUN negative case 1,9961,1,9897,2.771344851975,2.000000000000,7.000000000000,19,0.019290621266,0.091736559140,0.350021654719,0.025993130227,0.105634259259,0.350021654719
source,SALI causal,SUN negative case 2,10073,4,9946,2.882264226825,2.000000000000,7.000000000000,17,0.020038082437,0.080713112306,0.354823028674,0.027582511947,0.095583930705,0.354823028674
source,SALI causal,SUN negative case 3,7152,2,7119,2.942688579857,2.000000000000,7.000000000000,16,0.019393667861,0.076009408602,0.318614844683,0.025720579450,0.085964456392,0.320415919952
source,Spatial-Mamba,PolypGen negative,647,4,418,1.636363636364,1.000000000000,3.150000000000,10,0.010616560571,0.174233627508,0.399193672840,0.011021170910,0.174233627508,0.399193672840
source,Spatial-Mamba,SUN negative case 1,9961,1,8863,1.986573395013,2.000000000000,5.000000000000,14,0.031174581840,0.419208856033,0.916388142174,0.034522102748,0.430072057945,0.916388142174
source,Spatial-Mamba,SUN negative case 2,10073,4,9041,2.037495852229,2.000000000000,5.000000000000,20,0.042793458781,0.414958930705,0.836223118280,0.047327508961,0.420153823178,0.836273894863
source,Spatial-Mamba,SUN negative case 3,7152,2,6392,2.019712140175,2.000000000000,5.000000000000,14,0.030377090800,0.358355921446,0.865017921147,0.034093488650,0.363340240442,0.865097072879
pooled,SALI causal,PolypGen negative,647,4,647,3.278207109737,3.000000000000,7.000000000000,12,0.019601176698,0.105471595293,0.355222318673,0.030108506944,0.116596064815,0.383632330247
pooled,SALI causal,SUN pooled negatives,27186,7,26962,2.857503152585,2.000000000000,7.000000000000,19,0.019580346476,0.082701426225,0.354823028674,0.026539351852,0.095608124253,0.354823028674
pooled,Spatial-Mamba,PolypGen negative,647,4,418,1.636363636364,1.000000000000,3.150000000000,10,0.010616560571,0.174233627508,0.399193672840,0.011021170910,0.174233627508,0.399193672840
pooled,Spatial-Mamba,SUN pooled negatives,27186,7,24296,2.014241027330,2.000000000000,5.000000000000,20,0.034528823178,0.402488612605,0.916388142174,0.038371042413,0.411128472222,0.916388142174
