slice,independent_unit,interpretation,metric,estimate_median,ci_lower_025,ci_upper_975,bootstrap_iterations_valid,cluster_count
sun_val_positive,sequence,sequence_cluster_bootstrap,auprc,0.7504351101963279,0.6218939468537374,0.8273420360127566,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,aurc,0.15841802671793415,0.07069706725023009,0.2668769019152218,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,auroc,0.8105968720650145,0.7082879417112139,0.8934097462466676,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,top_01_failure_recall,0.04380751444004456,0.029434075884546704,0.07676696275820222,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,top_05_failure_recall,0.20896283110441677,0.1433474268524373,0.3629215542521994,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,top_10_failure_recall,0.39079299842207627,0.2743813381933668,0.6003309872166472,1000,22
sun_val_positive,sequence,sequence_cluster_bootstrap,top_20_failure_recall,0.6496300584308689,0.49822583812758486,0.8191965178571429,1000,22
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,auprc,0.24461843062639624,0.16994178735719537,0.34693703032588097,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,aurc,0.17898642965464814,0.11434112075412264,0.23883519866524688,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,auroc,0.50873745881816,0.4307502165265895,0.6079252612400107,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,top_01_failure_recall,0.06095599081054433,0.041102019455093584,0.08648459865408105,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,top_05_failure_recall,0.18158368354138477,0.12727611176262543,0.2507397946107553,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,top_10_failure_recall,0.2654712615018514,0.19726854637134436,0.34977357984994645,1000,173
sun_test_positive_pooled,sequence,sequence_cluster_bootstrap,top_20_failure_recall,0.36835064940898116,0.287517143603328,0.46900497563548077,1000,173
polypgen_test_negative,sequence,exploratory_four_clusters,auprc,0.9940599719999352,0.985536858824797,0.9996375672547897,993,4
polypgen_test_negative,sequence,exploratory_four_clusters,aurc,0.28441086108812397,0.20901809724688175,0.5484342500453563,1000,4
polypgen_test_negative,sequence,exploratory_four_clusters,auroc,0.9903574935751447,0.9837732919254658,0.9988664108824555,993,4
polypgen_test_negative,sequence,exploratory_four_clusters,top_01_failure_recall,0.01674641148325359,0.012468827930174564,0.018912529550827423,1000,4
polypgen_test_negative,sequence,exploratory_four_clusters,top_05_failure_recall,0.07894736842105263,0.061465721040189124,0.09067357512953368,1000,4
polypgen_test_negative,sequence,exploratory_four_clusters,top_10_failure_recall,0.15550239234449761,0.12056737588652482,0.17875647668393782,1000,4
polypgen_test_negative,sequence,exploratory_four_clusters,top_20_failure_recall,0.31100478468899523,0.23877068557919623,0.3561643835616438,1000,4
