slice,dataset,system,temporal_mode,presence_stratum,task,frames,independent_units,independent_unit_type,failures,calibration_policy,calibration_source,brier,nll,adaptive_ece_10,mean_predicted_risk,observed_failure_rate
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,612,29,sequence,56,frozen Platt map from pooled SUN validation,SUN pooled validation,0.35470743931454723,1.840683205250536,0.47662820380204296,0.5681314717758991,0.0915032679738562
cvc_sali_full,CVC-ClinicDB-VideoProbe,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,612,29,sequence,54,not calibrated,not calibrated,,,,,0.08823529411764706
cvc_sam2_independent_test,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,62,3,sequence,7,native risk without fitted calibrator,native score,0.1088899618996171,0.3734913471710352,0.13898004923252433,0.23574741978859692,0.11290322580645161
cvc_sam2_train_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,488,22,sequence,0,native risk without fitted calibrator,native score,0.03608842152681857,0.21036646549670043,0.12611646333430232,0.12611646333430232,0.0
cvc_sam2_val_overlap,CVC-ClinicDB-VideoProbe,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,62,4,sequence,2,native risk without fitted calibrator,native score,0.11609637210189232,0.3685243720305975,0.21427564376958347,0.24653370828571253,0.03225806451612903
polypgen_test,PolypGen-Video,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,647,4,sequence,647,frozen Platt map from pooled SUN validation,SUN pooled validation,0.042937212213061494,0.12240078118540755,0.07287398059980695,0.9271260194001931,1.0
polypgen_test,PolypGen-Video,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,478,2,sequence,94,frozen Platt map from pooled SUN validation,SUN pooled validation,0.49762364209380344,6.666877022877692,0.5737711854666712,0.7704239051319431,0.19665271966527198
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,647,4,sequence,647,not calibrated,not calibrated,,,,,1.0
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,478,2,sequence,89,not calibrated,not calibrated,,,,,0.18619246861924685
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,84,4,sequence,64,native risk without fitted calibrator,native score,0.30525861016379385,6.807333347082789,0.4190513106955309,0.8190350375303006,0.7619047619047619
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,42,2,sequence,3,native risk without fitted calibrator,native score,0.14041090715877372,0.4618398083494981,0.22969633359763159,0.301124905026203,0.07142857142857142
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,819,39,case,132,native risk without fitted calibrator,native score,0.05339639198709853,0.1968383748603549,0.06780099600076629,0.21738667324108335,0.16117216117216118
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,546,26,case,46,native risk without fitted calibrator,native score,0.04472343926681814,0.17271437229589404,0.04893465658060941,0.11310079296838406,0.08424908424908426
sam2_sun_negative_case1_train,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,21,1,case,19,native risk without fitted calibrator,native score,0.5063726343097833,3.7454531703961247,0.6369666115954601,0.45827148364244463,0.9047619047619048
sam2_sun_negative_case2_val,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,74,1,case,41,native risk without fitted calibrator,native score,0.548305660676259,12.611327544413163,0.638235720562836,0.8076684260828969,0.5540540540540541
sam2_sun_negative_case3_test,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,28,1,case,21,native risk without fitted calibrator,native score,0.25128002812688915,6.9312755900479415,0.2728437872269406,0.9771562127725595,0.75
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,12351,39,case,1495,frozen Platt map from pooled SUN validation,SUN pooled validation,0.40865247532877197,2.698529909693014,0.5176884608470369,0.638731291387074,0.12104283054003724
sun_easy_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,12351,39,case,1505,not calibrated,not calibrated,,,,,0.12185248158043883
sun_hard_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,8640,26,case,1086,frozen Platt map from pooled SUN validation,SUN pooled validation,0.4052710970711816,2.4427793151023,0.498099376075541,0.6237938205199853,0.12569444444444444
sun_hard_unseen,SUN-SEG,SALI,official_future_neighbor_parity,lesion present,positive_lesion_preservation,8640,26,case,1098,not calibrated,not calibrated,,,,,0.12708333333333333
sun_negative_case1_train,SUN-SEG,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,9961,1,case,9897,frozen Platt map from pooled SUN validation,SUN pooled validation,0.07279709981677276,0.26813048936351136,0.11401290823097243,0.8910801686189854,0.993574942274872
sun_negative_case1_train,SUN-SEG,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,9961,1,case,9961,not calibrated,not calibrated,,,,,1.0
sun_negative_case2_val,SUN-SEG,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,10073,1,case,9946,frozen Platt map from pooled SUN validation,SUN pooled validation,0.05271619644209362,0.29065854546499886,0.08205414701026244,0.9282361454768373,0.9873920381217115
sun_negative_case2_val,SUN-SEG,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,10073,1,case,10073,not calibrated,not calibrated,,,,,1.0
sun_negative_case3_test,SUN-SEG,SALI,causal_previous_neighbor_raw,no lesion,negative_false_positive,7152,1,case,7119,frozen Platt map from pooled SUN validation,SUN pooled validation,0.043703486351777746,0.19490851376040857,0.07571718542788497,0.9282609867432788,0.9953859060402684
sun_negative_case3_test,SUN-SEG,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,7152,1,case,7152,not calibrated,not calibrated,,,,,1.0
